CODE ADHERENT;NOM FOURNISSEUR;TYPE DE PIECE;DOCUMENT NUMBER;DATE;LIGNE_FACTURE;FAMILLE;REF PRODUIT;LIBELEE PRODUIT;ETAT DEPOT;QUANTITE;VAT rate;PRIX D'ACHAT CATALOGUE HT;PRIX D'ACHAT REEL HT;PRIX D'ACHAT REEL TTC;DELIVERY NOTE NUMBER;DELIVERY NOTE Date;CUST.REF;ANCIEN N° SERIE ;N° SERIE
INNO017;STARKEY;FA;21424648;2021-09-24;11;AC;53135-005;5 MICRO TUBES BTE UNIVERSEL DROIT TAILLE 5;;2;0550;14,00;28,00;29,54;3908254;2021-09-23;MAIL 15/09;;
INNO017;STARKEY;FA;21424648;2021-09-24;12;AC;53135-006;5 MICRO TUBES BTE UNIVERSEL DROIT TAILLE 3;;2;0550;14,00;28,00;29,54;3908254;2021-09-23;MAIL 15/09;;
INNO017;STARKEY;FA;21424648;2021-09-24;13;AC;53135-004;5 MICRO TUBES BTE UNIVERSEL DROIT TAILLE 4;;2;0550;14,00;28,00;29,54;3908254;2021-09-23;MAIL 15/09;;
INNO017;STARKEY;FA;21424648;2021-09-24;14;AC;12522-000;BOITE DE 8 PROTECTIONS ECOUTEUR (HearClear);;30;0550;3,60;108,00;113,94;3908682;2021-09-23;MAIL 15/09;;
INNO017;STARKEY;FA;21424648;2021-09-24;15;AC;53270-001;10 EMBOUTS DOME CONFORT OUVERT 5MM;;1;0550;7,50;7,50;7,91;3908682;2021-09-23;MAIL 15/09;;
INNO017;STARKEY;FA;21424648;2021-09-24;16;AC;53270-002;10 EMBOUTS DOME CONFORT OUVERT 6MM;;1;0550;7,50;7,50;7,91;3908682;2021-09-23;MAIL 15/09;;
INNO017;STARKEY;FA;21424648;2021-09-24;17;AC;53271-001;10 EMBOUTS DOME CONFORT FERME 5MM;;1;0550;7,50;7,50;7,91;3908682;2021-09-23;MAIL 15/09;;
INNO017;STARKEY;FA;21424648;2021-09-24;18;AC;53271-002;10 EMBOUTS DOME CONFORT FERME 6MM;;1;0550;7,50;7,50;7,91;3908682;2021-09-23;MAIL 15/09;;
INNO017;STARKEY;FA;21424648;2021-09-24;19;PR;SA TN3I;STARKEY MUSE IQ i1200 CIC;;1;0550;279,00;275,00;290,13;3909344;2021-09-24;;;7021371759
INNO017;STARKEY;FA;21424648;2021-09-24;20;PT;PT14;RETOUR TNT FRANCE;;1;2000;9,80;9,80;11,76;3909344;2021-09-24;;;
INNO017;STARKEY;FA;21424648;2021-09-24;21;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;3909344;2021-09-24;;;
INNO017;STARKEY;FA;21424648;2021-09-24;22;PR;SA TN3I;STARKEY MUSE IQ i1200 CIC;;1;0550;279,00;275,00;290,13;3909344;2021-09-24;;;7021371758
